岗位名称,工作地点,职位类型,招聘人数,工作职责,工作要求
WXG06-143 微信支付后台策略安全工程师（广州）,广州,技术类,2人,"['负责微信支付业务安全中的部分体系建设，包括业务安全风险分析，安全监控建设，安全数据挖掘，安全策略模型建设，能有效的发现和识别安全威胁，管控安全风险；', '负责业务安全的数据平台和策略模型的建立，通过大数据建模方式，建立 安全态势感知、人机行为识别 等风控能力。']","['本科及以上学历； ', '3年以上的后台策略安全工作经验；', '熟悉指纹特征识别，爬虫识别，防刷，反垃圾，账号安全等业务安全领域的恶意识别和打击手段；', '精通统计分析方法、机器学习、大数据建模方法，具备优秀的逻辑思维能力及数据分析能力，有很强的数据敏感度及自我驱动力；', '具备较强的学习能力、动手能力、沟通能力、团队合作意识及综合分析能力；', '熟悉linux开发环境，有C++编码经验，熟练掌握SQL和至少一种脚本语言（如python等）；', '有一定的项目管理或推动工作经验；', '熟悉spark，hadoop等大数据平台上的数据分析者优先；', '具备优秀安全基础能力并对安全有浓厚兴趣者优先；', '有互联网支付公司或金融公司安全工作经验者优先。']"
WXG06-116 微信支付测试开发工程师（广州）,广州,技术类,2人,"['负责研发基础设施及自测工具/平台的设计、开发及维护；', '负责SOA治理项目的落地；', '负责自动化测试的能力提升，用例覆盖度提高，以及配套平台和特性的开发支持。']","['本科及以上学历，计算机软件、通信、电子相关专业；', '3年以上软件开发／测试开发／运维开发经验，能独立完成需求分析、方案设计及编码工作；', '熟悉linux系统使用，熟练掌握python/shell脚本语言，有C/C++编程基础；', '对常用数据结构和算法，数据库操作，进程间通信，网络协议等有较好掌握；', '熟悉抓包工具等业界常用的一些测试辅助工具；', '有自动化以及持续集成相关的建设经验和熟悉相关方法论；', '具备良好的文档能力及沟通能力，快速学习能力及独立解决问题的问题。']"
WXG06-143 微信支付后台策略安全工程师（深圳）,深圳,技术类,2人,"['负责微信支付业务安全中的部分体系建设，包括业务安全风险分析，安全监控建设，安全数据挖掘，安全策略模型建设，能有效的发现和识别安全威胁，管控安全风险；', '负责业务安全的数据平台和策略模型的建立，通过大数据建模方式，建立 安全态势感知、人机行为识别 等风控能力。']","['本科及以上学历； ', '3年以上的后台策略安全工作经验；', '熟悉指纹特征识别，爬虫识别，防刷，反垃圾，账号安全等业务安全领域的恶意识别和打击手段；', '精通统计分析方法、机器学习、大数据建模方法，具备优秀的逻辑思维能力及数据分析能力，有很强的数据敏感度及自我驱动力；', '具备较强的学习能力、动手能力、沟通能力、团队合作意识及综合分析能力；', '熟悉linux开发环境，有C++编码经验，熟练掌握SQL和至少一种脚本语言（如python等）；', '有一定的项目管理或推动工作经验；', '熟悉spark，hadoop等大数据平台上的数据分析者优先；', '具备优秀安全基础能力并对安全有浓厚兴趣者优先；', '有互联网支付公司或金融公司安全工作经验者优先。']"
MIG03-高级后台测试工程师（深圳）,深圳,技术类,1人,"['负责MIG创新医疗产品的底层后台质量保障工作，负责和产品开发等人员密切合作发布高质量产品', '挖掘能提升测试质量和效率的自动化或工具需求，并能独立完成工具架构的设计、编码等工作', '根据业务需求，制定测试方案，设计测试用例，测试数据准备，测试执行，问题跟进等']","['计算机相关专业，本科及以上学历，五年以上互联网测试工作经验； ', '有较丰富的C或C++或Java编程经验和能力', '熟悉Linux、mysql数据库原理和基础操作', '掌握Python/PHP/Perl其中一种脚本语言优先', '熟悉主流的web项目开发技术者优先', '有性能、安全、白盒测试等专业测试领域经验者优先', '具有测试框架开发经验者优先', '具有较强的问题定位和分析能力', '具备创新性思维、较强的抗压能力和良好的沟通能力']"
MIG03-车联网测试负责人（深圳）,深圳,技术类,2人,"['负责腾讯车联网测试工作；', '跟进分析车联网业务的需求、项目进展、外部合作方式，制定相应的测试方案、测试计划、质量目标，并且设计与项目相匹配的测试方法来保证项目质量目标；', '跟进建设自动化测试、性能测试，稳定性测试，并且帮助团队整体上的质量和效率的而提升；', '推动研发流程改进，通过黑盒以及API测试等手段进行质量保证工作，提升产品提测质量；']","['计算机相关专业本科学历，五年以上软件测试、测试开发、开发经验；精通测试理论和方法；', '有软件的开发或者测试经验，对需求有深入理解，并且能够根据项目特点制定测试方案、制定项目质量目标，制定测试计划，可以很好的根据项目周期调整来协调资源以保证产品质量的输出；', '需要有较强的测试团队管理经验；', '具备良好的沟通能力、协调能力、团队合作能力，定位&深入分析问题能力，强烈的责任心、团队感、积极主动的工作态度；', '有硬件相关项目测试经验,熟悉车厂或车机的质量标准和验收方法,有多方合作测试经验者优先；', '熟悉java、python开发经验者优先.']"
MIG03-智能产品测试经理（深圳）,深圳,技术类,1人,"['1、根据组内项目情况，定制团队工作计划，按照测试计划保证测试工作的质量；', '2、负责测试工具和测试手段的不断完善创新，引入新的测试框架和策略，最大限度提高测试效率和质量；', '3、把控团队内业务情况，收集、统计和分析测试反馈，对测试方案可能出现问题进行评估改进；', '4、利用大数据处理分析、算法分析等测试手段解决研发过程问题，提升产品质量；', '5、研究AR、VR和AI相关产品的评测及性能优化方法，建设整体测试质量评估体系，包括自动化建设，并落实项目。']","['1、计算机或者相关专业，本科及以上学历，5年以上品质管理或产品开发经验，且2年以上团队管理经验；', '2、对软件测试质量保证、软件测试流程和方法有良好的理解和积累，在软件研发过程中熟知常用质量控制手段；', '3、熟练掌握至少一种编程语言，包括但不限于C/C++、Java、Python、Shell等，具备自动化测试及框架建设经验；', '4、具有较坚实的理论基础，有追求卓越的理想和团队合作精神，愿意学习和开辟新领域者；', '5、有模式识别学习经历、工作经历的优先；', '6、有学习研究过人工智能、机器学习、大数据分析、应用数学等优先。']"
SA-腾讯社交广告数据分析工程师（微信广告方向）,深圳,技术类,2人,"['负责针对特定的广告行业需求，基于大规模用户数据，对用户兴趣、偏好进行数据挖掘和分析；', '负责分析挖掘广告主感兴趣的人群，协助广告主在广点通系统中进行广告定向投放；', '负责通过数据分析追踪广告投放效果，推动特定广告行业的效果优化。']","['良好的统计分析基础，熟练掌握数据分析的体系流程与方法，较高的数据敏感性，熟悉常用的机器学习、数据挖掘算法；', '熟练掌握SQL，熟悉(Python/R)等语言及相关库包，熟悉 Hadoop || Spark 等分布式计算和存储平台；', '参与过完整的数据采集、清洗、数据整理、指标设计、数据分析和输出报告者优先；', '优秀的逻辑思维能力，沟通表达能力，方案输出与展示能力；', '善于沟通，工作积极主动，责任心强，具备良好的团队协作能力；', '有广告相关背景优先；']"
MIG09-QQ浏览器搜索算法高级研究员,深圳,技术类,1人,"['1. 负责 query 分析，包括不限于分类、合并、关键词提取、歧义消解、同义词库、相关词', '库建设；', '2. 负责语义理解能力的建设，识别用户 query 背后的意图并给出 query 与 doc/资源的语义', '相关性计算；', '3. 联想词能力建设；', '4. 使用 CNN、DNN 等业界新方法提升现有 NLP 相关能力；', '5. 负责相关人才培养']","['1. 计算机或相关专业本科及以上学历，3年以上工作经验（1 年以上自然语言处理工作），', '具备丰富的机器学习算法实践经验；', '2. 熟悉 C++、java、scala、python 等一门或多门编程语言；', '3. 要求有 机器学习/数据挖掘/信息检索/深度学习/神经网络 实践经验；', '4. 有智能助手、对话系统建设经验者优先；', '5. 良好的逻辑思维能力和数据敏感度，能从海量数据中发现有价值的规律；', '6. 能够阅读英文技术文档和论文，具有良好的自学能力；', '7. 有很强的技术选型及规划能力、较好的沟通能力、积极主动，愿意接受挑战，抗压能', '力好。']"
GY0-运营开发工程师（深圳）,深圳,技术类,1人,"['负责国际业务部整体运维能力平台的设计、开发工作；', '负责跟进平台的需求收集及反馈、优化；', '研究新兴运维技术，持续优化系统架构。']","['本科以上学历，2年以上运维经验，2年以上运维自动化平台研发经验；', '精通php/python/javascript /等web开发技术，精通LAMP架构下的开发，熟悉html/css；', '具有mysql等应用开发的经验，精通数据结构设计；', '熟悉linux系统，掌握shell脚本；', '理解DevOps工作模式和目标；', '同时具有linux下C、C++编程经验者优先；', '具有责任心、良好的沟通技巧和团队合作精神。']"
22989-腾讯云运营产品中心PHP运营开发工程师（深圳）,深圳,技术类,1人,"['负责腾讯云官网活动后台的架构设计和开发； ', '负责活动平台配置化、自助化建设，提升运营效率与质量；', '负责舆情监测、SEO优化、个性化推荐、数据分析/挖掘等系统开发。']","['本科以上学历，2年以上开发经验； ', '至少精通1门开发语言：PHP、C/C++或Python； ', '熟悉Linux开发环境，熟悉LAMP与LNMP Web开发架构优先； ', '具有良好的学习能力、沟通能力、团队合作意识； ', '强烈的责任心与主动性，owner意识，并能自我驱动成长。']"
22989-腾讯云行业架构师（北京）,北京,技术类,2人,"['熟悉传统行业业务（制造业、零售、快销等），并能对传统业务架构组成进行需求分析，同时能针对云计算产品规划出云解决方案，针对云上架构进行优化设计；', '能从网络、服务器、数据中心等不同层面设计传统企业上云的服务架构，能提供IaaS/SaaS/PaaS/DaaS不同层级的解决方案；', '确保重点项目的拆解和落地，推进项目实施以及解决方案可复制，推动跨部门合作，推动架构和产品优化；', '了解行业技术发展变革方向，能针对云服务特点在行业解决方案上有前瞻性布局。']","['有3年以上服务端开发、运维经验，熟悉Java/Scala/Python/PHP/C/C++至少一种开发语言以及对应开发框架，熟悉高并发处理机制，有海量业务的架构、研发、运维、优化经验；', '有成功的传统企业系统的大型应用经验，有面向客户沟通交流、调研需求、宣讲架构的能力，物联网经验优先；', '熟悉Hadoop、Mysql、PostgreSQL、NoSQL、Oracle、Teradata、DB2等数据库中至少一种数据中心建设方案，可以进行产品的独立部署、高可用架构和性能优化，熟悉开源社区解决方案；', '熟悉网络架构、虚拟化、分布式存储，深入理解IT基础设施领域，如服务器、网络设备的技术和架构，有IT交付经验优先；', '具备团队合作经验，学习能力强，抗压能力强；', '具备良好的文档能力，善于总结沟通，清晰表达技术观点和架构意图，能熟练的编写技术文档；', '有一定的项目管理经验，能进行需求管理、期望管理、团队协作管理，有和ISV管理合作经验优先；', '有PMP认证优先。']"
